KILLSTANDARDIZED,PLACE STANDARDIZED,RANK
-0.7633792258,-0.4871142958,13
-1.109060385,-0.593879073,14
-0.7633792258,-1.554762068,15
-1.800422702,-1.554762068,16
2.452035645,1.968475579,1
1.814107672,1.54141647,2
0.6977337201,1.327886916,3
0.2990287372,0.7940630302,4
0.2192877406,0.2602391444,5
0.538251727,0.2602391444,6
-0.1794172423,-0.06005518716,7
-0.09967624573,-0.1668199643,8
-0.3388992355,-0.3803495187,9
-0.6578632218,-0.3803495187,10
-0.2591582389,-0.4871142958,11
-0.817345215,-0.4871142958,12
-1.136309201,-0.4871142958,13
-0.7376042184,-0.593879073,14
-0.817345215,-1.554762068,15
-0.9768272082,-1.554762068,16
1.97978025,1.968475579,1
1.164576617,1.54141647,2
1.97978025,1.327886916,3
0.2329153235,0.7940630302,4
-0.2329153235,0.2602391444,5
0,0.2602391444,6
0.3493729852,-0.06005518716,7
-0.5822883087,-0.1668199643,8
0.2329153235,-0.3803495187,9
-0.2329153235,-0.3803495187,10
0,-0.4871142958,11
-0.931661294,-0.4871142958,12
-1.048118956,-0.4871142958,13
-0.931661294,-0.593879073,14
-0.5822883087,-1.554762068,15
-1.397491941,-1.554762068,16
2.063218012,1.968475579,1
1.501798145,1.54141647,2
0.6035263572,1.327886916,3
0.9403782776,0.7940630302,4
0.1543904635,0.2602391444,5
0.4912423838,0.2602391444,6
-0.2947454303,-0.06005518716,7
0.3789584104,-0.1668199643,8
-0.4070294037,-0.3803495187,9
0.1543904635,-0.3803495187,10
-0.4070294037,-0.4871142958,11
-0.1824614568,-0.4871142958,12
-1.080733244,-0.4871142958,13
-1.193017218,-0.593879073,14
-1.193017218,-1.554762068,15
-1.529869138,-1.554762068,16
1.743815999,1.968475579,1
1.013421863,1.54141647,2
0.721264209,1.327886916,3
1.15950069,0.7940630302,4
0.5751853819,0.2602391444,5
-0.301287581,0.2602391444,6
1.013421863,-0.06005518716,7
-0.009129926696,-0.1668199643,8
-0.009129926696,-0.3803495187,9
-0.4473664081,-0.3803495187,10
-0.4473664081,-0.4871142958,11
-0.1552087538,-0.4871142958,12
-0.301287581,-0.4871142958,13
-1.615997025,-0.593879073,14
-1.177760544,-1.554762068,15
-1.762075852,-1.554762068,16
1.256628056,1.968475579,1
1.256628056,1.54141647,2
1.067838864,1.327886916,3
1.445417247,0.7940630302,4
-0.4424746676,0.2602391444,5
0.9734442687,0.2602391444,6
-0.1592908803,-0.06005518716,7
0.8790496729,-0.1668199643,8
-0.5368692633,-0.3803495187,9
0.02949831117,-0.3803495187,10
-0.1592908803,-0.4871142958,11
-1.008842242,-0.4871142958,12
-1.103236838,-0.4871142958,13
-1.008842242,-0.593879073,14
-1.197631434,-1.554762068,15
-1.292026029,-1.554762068,16
1.948893653,1.968475579,1
2.518805112,1.54141647,2
0.5648229646,1.327886916,3
-0.3307521865,0.7940630302,4
0.3205751961,0.2602391444,5
-0.086504418,0.2602391444,6
-0.1679203408,-0.06005518716,7
0.1577433505,-0.1668199643,8
-0.005088495177,-0.3803495187,9
-0.2493362637,-0.3803495187,10
-0.4935840321,-0.4871142958,11
-0.574999955,-0.4871142958,12
-0.4935840321,-0.4871142958,13
-0.7378318006,-0.593879073,14
-1.063495492,-1.554762068,15
-1.30774326,-1.554762068,16
2.462642862,1.968475579,1
1.521291324,1.54141647,2
0.8488973687,1.327886916,3
0.1765034133,0.7940630302,4
-0.09245416886,0.2602391444,5
0.1765034133,0.2602391444,6
0.04202462221,-0.06005518716,7
-0.09245416886,-0.1668199643,8
0.1765034133,-0.3803495187,9
-0.7648481242,-0.3803495187,10
-0.7648481242,-0.4871142958,11
0.4454609954,-0.4871142958,12
-0.7648481242,-0.4871142958,13
-1.033805706,-0.593879073,14
-1.033805706,-1.554762068,15
-1.302763289,-1.554762068,16
2.202345402,1.968475579,1
1.632685622,1.54141647,2
0.6561259975,1.327886916,3
0.2492261541,0.7940630302,4
0.005086248042,0.2602391444,5
0.2492261541,0.2602391444,6
-0.07629372063,-0.06005518716,7
0.08646621672,-0.1668199643,8
-0.3204336267,-0.3803495187,9
-0.3204336267,-0.3803495187,10
0.8188859348,-0.4871142958,11
-0.4018135953,-0.4871142958,12
-1.052853345,-0.4871142958,13
-1.052853345,-0.593879073,14
-1.134233313,-1.554762068,15
-1.541133157,-1.554762068,16
2.898721478,1.968475579,1
1.169659544,1.54141647,2
0.8645309671,1.327886916,3
0.1525642883,0.7940630302,4
0.2542738139,0.2602391444,5
-0.4576928649,0.2602391444,6
-0.1525642883,-0.06005518716,7
-0.1525642883,-0.1668199643,8
-0.3559833394,-0.3803495187,9
-0.05085476277,-0.3803495187,10
-0.3559833394,-0.4871142958,11
-0.661111916,-0.4871142958,12
-0.2542738139,-0.4871142958,13
-0.5594023905,-0.593879073,14
-0.7628214416,-1.554762068,15
-1.576497646,-1.554762068,16
0.9965907231,1.968475579,1
0.5495219875,1.54141647,2
0.4004990756,1.327886916,3
1.294636547,0.7940630302,4
0.2514761638,0.2602391444,5
0.6985448993,0.2602391444,6
0.4004990756,-0.06005518716,7
1.145613635,-0.1668199643,8
0.5495219875,-0.3803495187,9
-0.4936383955,-0.3803495187,10
-0.1955925718,-0.4871142958,11
-0.1955925718,-0.4871142958,12
-0.3446154837,-0.4871142958,13
-1.238752955,-0.593879073,14
-1.536798779,-1.554762068,15
-2.281913338,-1.554762068,16
2.059755666,1.968475579,1
2.25304652,1.54141647,2
0.3201379774,1.327886916,3
0.1268471231,0.7940630302,4
0.1751698367,0.2602391444,5
0.3201379774,0.2602391444,6
0.1751698367,-0.06005518716,7
0.2718152638,-0.1668199643,8
-0.9362525754,-0.3803495187,9
-0.2597345854,-0.3803495187,10
-0.06644373116,-0.4871142958,11
-0.4047027262,-0.4871142958,12
-1.032898003,-0.4871142958,13
-0.6946390076,-0.593879073,14
-1.177866143,-1.554762068,15
-1.12954343,-1.554762068,16
