KILLSTANDARDIZED,PLACE STANDARDIZED,RANK
1.429081817,0.5814018997,2
1.340456588,-0.1453504749,3
0.8087052143,0.2907009499,4
0.7200799853,0.1453504749,5
0.1883286115,0.8721028496,6
0.6314547563,-0.1453504749,7
-0.3434227622,0.7267523747,8
-0.1661723043,0.2907009499,9
-0.3434227622,0.4360514248,10
-0.1661723043,0,11
-0.6092984491,0.4360514248,12
-0.5206732201,-1.017453325,13
-0.6979236781,-0.7267523747,14
-1.052424594,-0.7267523747,15
-2.381803028,-2.761659024,16
1.491418259,1.882796291,1
1.168949446,2.053959591,2
1.168949446,0.3423265984,3
0.685246227,0.8558164961,4
0.8464806334,0.3423265984,5
-0.1209258048,0.5134898977,6
0.8464806334,-0.6846531969,7
0.201543008,-0.3423265984,8
-0.4433946175,0.3423265984,9
-0.4433946175,0,10
0.3627774143,-1.198143095,11
-1.088332243,-0.5134898977,12
-0.4433946175,-1.369306394,13
-1.088332243,-0.8558164961,14
-1.410801056,-0.5134898977,15
-1.733269868,-0.8558164961,16
1.24127389,1.454144919,1
2.50225054,-0.1817681149,2
0.6107855648,1.272376804,3
-0.4925690039,2.181217378,4
0.6107855648,0.3635362297,5
0.6107855648,-0.3635362297,6
-0.1773248414,0.1817681149,7
0.4531634836,-0.7270724594,8
-0.3349469227,0.1817681149,9
-0.4925690039,0.3635362297,10
-0.3349469227,-0.1817681149,11
-0.4925690039,0,12
-0.4925690039,-0.7270724594,13
-0.1773248414,-1.272376804,14
-1.595923573,-1.090608689,15
-1.438301491,-1.454144919,16
0.9550015581,1.452368755,1
0.6023855982,1.331338025,2
0.6023855982,1.210307296,3
0.3673082916,1.210307296,4
0.8374629048,0.1210307296,5
0.6023855982,0.3630921887,6
1.072540211,-0.2420614591,7
1.542694825,-1.089276566,8
0.132230985,-0.2420614591,9
-1.395771508,1.089276566,10
-0.4554622816,-0.7261843774,11
0.132230985,-1.694430214,12
-1.160694201,-0.6051536478,13
-1.043155548,-0.9682458366,14
-1.160694201,-0.847215107,15
-1.630848815,-0.3630921887,16
0.507352889,1.597661106,1
1.06719056,0.7100716025,2
1.06719056,0.7100716025,3
2.046906483,-0.8875895031,4
0.2274340537,1.065107404,5
0.2274340537,0.8875895031,6
